Movie,Year,State of Filming
6 Festivals,2022,New South Wales
Anyone But You,2023,New South Wales
The Appleton Ladies' Potato Race,2023,New South Wales
Australia,2008,"New South Wales, Western Australia, Northern Territory"
Bachna Ae Haseeno,2008,New South Wales
Birdeater,2023,New South Wales
The Black Balloon,2008,New South Wales
Bootmen,2000,New South Wales
Candy,2006,New South Wales
Charlie & Boots,2009,"New South Wales, Queensland, Northern Territory"
Christmess,2023,New South Wales
Clubland,2007,New South Wales
Crocodile Dundee in Los Angeles,2001,New South Wales
The Crocodile Hunter: Collision Course,2002,New South Wales
Danny Deckchair,2003,New South Wales
Daybreakers,2009,New South Wales
Deck Dogz,2005,New South Wales
Dil Chahta Hai,2001,New South Wales
Dirty Deeds,2002,New South Wales
The Extra,2005,New South Wales
The Fall Guy,2024,New South Wales
Fat Pizza,2003,New South Wales
Fat Pizza vs. Housos,2014,New South Wales
Five Blind Dates,2024,New South Wales
Garage Days,2002,New South Wales
He Died with a Felafel in His Hand,2001,New South Wales
Housos vs. Authority,2012,New South Wales
The Inbetweeners 2,2014,New South Wales
The Invisible Man,2020,New South Wales
Jindabyne,2006,New South Wales
Kangaroo Jack,2003,"New South Wales, Northern Territory"
Lantana,2001,New South Wales
Last Cab to Darwin,2015,"New South Wales, Northern Territory, South Australia"
Little Fish,2005,New South Wales
Looking for Alibrandi,2000,New South Wales
Mission: Impossible 2,2000,New South Wales
The Moogai,2024,New South Wales
The Nugget,2002,New South Wales
Nugget Is Dead?: A Christmas Story,2024,New South Wales
Oyster Farmer,2004,New South Wales
Palm Beach,2019,New South Wales
Primal,2010,New South Wales
The Rage in Placid Lake,2003,New South Wales
The Sapphires,2012,New South Wales
Somersault,2004,New South Wales
The Square,2008,New South Wales
Suburban Mayhem,2006,New South Wales
Thank God He Met Lizzie,1997,New South Wales
"Tomorrow, When the War Began",2011,New South Wales
Top End Wedding,2019,"New South Wales, Northern Territory"
Travelling Light,2003,New South Wales
Two Hands,1999,New South Wales
Unbroken,2014,New South Wales
Welcome to Woop Woop,1997,New South Wales
Wyrmwood,2014,New South Wales
Wyrmwood: Apocalypse,2021,New South Wales
You Can't Stop the Murders,2003,New South Wales
100 Bloody Acres,2012,Victoria
Animal Kingdom,2010,Victoria
Any Questions for Ben?,2012,Victoria
Bad Eggs,2003,Victoria
The BBQ,2018,Victoria
Beaconsfield,2012,Victoria
Beautiful,2009,Victoria
The Big Steal,1990,Victoria
Chopper,2000,Victoria
The Cup,2011,Victoria
Crackerjack,2002,Victoria
Death in Brunswick,1990,Victoria
The Dressmaker,2015,Victoria
The Dry,2020,Victoria
Force of Nature: The Dry 2,2024,Victoria
Emo the Musical,2016,Victoria
The Eye of the Storm,2011,Victoria
The Hard Word,2002,Victoria
Harvie Krumpet,2003,Victoria
Hating Alison Ashley,2005,Victoria
Holding the Man,2015,Victoria
Hollywood,2002,Victoria
I Love You Too,2010,Victoria
Joffa: The Movie,2010,Victoria
Kenny,2006,Victoria
Let's Get Skase,2001,Victoria
Love Serenade,1996,Victoria
The Loved Ones,2009,Victoria
Love's Brother,2004,Victoria
The Man Who Sued God,2001,Victoria
Mary and Max,2009,Victoria
My Mother Frank,2000,Victoria
Ned Kelly,2003,Victoria
Noise,2007,Victoria
Oddball,2015,Victoria
One Perfect Day,2004,Victoria
Patrick,2013,Victoria
Peaches,2004,Victoria
Proof,1991,Victoria
Return Home,1990,Victoria
Secret Bridesmaids' Business,2002,Victoria
Spider and Rose,1994,Victoria
Spin Out,2016,Victoria
Struck by Lightning,1990,Victoria
Take Away,2003,Victoria
Walking on Water,2002,Victoria
The Wannabes,2003,Victoria
West of Sunshine,2017,Victoria
You and Your Stupid Mate,2005,Victoria
48 Shades,2006,Queensland
Aquamarine,2006,Queensland
Black Water,2007,Queensland
Blurred,2002,Queensland
Dead End Drive-In,1986,Queensland
Heyy Babyy,2007,Queensland
The Horseman,2008,Queensland
Love Is in the Air,2023,Queensland
The Proposition,2005,Queensland
The Reef,2010,Queensland
The Reef: Stalked,2022,Queensland
Siam Sunset,1999,Queensland
Uninhabited,2010,Queensland
2:37,2006,South Australia
The Babadook,2014,South Australia
Black and White,2002,South Australia
Closed for Winter,2009,South Australia
Opal Dream,2006,South Australia
Wolf Creek,2005,South Australia
Wolf Creek 2,2013,South Australia
Aadavaari Maatalaku Arthale Verule,2007,Western Australia
Bad Behaviour,2010,Western Australia
Blame,2011,Western Australia
Breath,2017,Western Australia
The Drover's Wife: The Legend of Molly Johnson,2021,Western Australia
Dirt Music,2019,Western Australia
Go!,2019,Western Australia
Japanese Story,2003,Western Australia
Kid Snow,2024,Western Australia
Mad Bastards,2011,Western Australia
Mystery Road,2013,Western Australia
Goldstone,2016,Western Australia
Satellite Boy,2012,Western Australia
Sweet As,2022,Western Australia
The Hunter,2011,Tasmania
The Nightingale,2018,Tasmania
High Ground,2020,Northern Territory
Ten Canoes,2006,Northern Territory
The Tracker,2002,Northern Territory
Yolngu Boy,2001,Northern Territory
